,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
0,TCS,3.9,47000,Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India),BPO / Call Centre
1,Accenture,4.2,31200,Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India),IT Services & Consulting
2,Cognizant,3.9,28400,Private,Teaneck. New Jersey. + 93 more,28 years old,1 Lakh+ Employees (India),IT Services & Consulting
3,ICICI Bank,4,33800,Public,"Mumbai,Maharashtra + 1021 more",28 years old,1 Lakh+ Employees (India),Financial Services
4,HDFC Bank,4,38200,Public,"Mumbai,Maharashtra + 1172 more",28 years old,1 Lakh+ Employees (India),Financial Services
5,Wipro,3.9,27300,Public,"Bangalore/Bengaluru,Karnataka + 227 more",77 years old,1 Lakh+ Employees (India),IT Services & Consulting
6,Infosys,3.9,27000,Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India),IT Services & Consulting
7,Capgemini,3.9,23000,Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India),Internet
8,Tech Mahindra,3.8,20900,Public,"Pune,Maharashtra + 209 more",36 years old,50k-1 Lakh Employees (India),Consulting
9,Genpact,4,20300,Public,"New York,New York + 65 more",25 years old,50k-1 Lakh Employees (India),IT Services & Consulting
10,HCL Technologies,3.9,17500,Public,"Noida,Uttar Pradesh + 138 more",31 years old,1 Lakh+ Employees (India),Financial Services
11,Axis Bank,3.9,18400,Public,"Mumbai,Maharashtra + 1046 more",29 years old,1 Lakh+ Employees (India),Financial Services
12,Amazon,4.2,16900,Public,"Seattle,Washington + 351 more",28 years old,1 Lakh+ Employees (India),Internet
13,IBM,4.2,20800,Public,"Armonk,New York + 115 more",111 years old,1 Lakh+ Employees (India),BPO/KPO
14,Concentrix Corpo...,4.1,14900,Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India),BPO/KPO
15,Larsen & Toubro ...,4.1,24000,Public,"Mumbai,Maharashtra + 514 more",84 years old,10k-50k Employees (India),Industrial Equipment / Machinery
16,Reliance jio,4,14400,Public,"Navi Mumbai,Maharashtra + 939 more",15 years old,50k-1 Lakh Employees (India),Telecom / ISP
17,Vodafone Idea,4.2,13700,Public,"Gandhinagar,Gujrat + 557 more",4 years old,10k-50k Employees (India),Telecom / ISP
18,HDB Financial Se...,4,12900,Private,"Ahmedabad,Gujrat + 750 more",15 years old,1 Lakh+ Employees (India),Financial Services
19,Teleperformance,3.6,13900,Private,Paris + 119 more,44 years old,50k-1 Lakh Employees (India),BPO / Call Centre
20,Kotak Mahindra B...,3.9,13300,Public,"Mumbai,Maharashtra + 466 more",19 years old,50k-1 Lakh Employees (India),Financial Services
21,Reliance Industr...,4.1,41600,Public,"Navi Mumbai,Maharashtra + 460 more",49 years old,1 Lakh+ Employees (India),Manufacturing
22,Bharti Airtel,4.1,12500,Public,"Gurgaon/Gurugram,Haryana + 493 more",27 years old,10k-50k Employees (India),Telecom / ISP
23,Deloitte,4.1,9900,Private,"New York,New York + 130 more",177 years old,50k-1 Lakh Employees (India),Consulting
24,Tata Motors,4,12100,Public,"Pune,Maharashtra + 381 more",77 years old,10k-50k Employees (India),Automobile
