,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
3104,Inventia Healthc...,4.1,167,Private,"Mumbai,Maharashtra + 5 more",37 years old,501-1k Employees (India),Manufacturing
3105,Bombay Dyeing,3.7,167,Private,"Mumbai,Maharashtra + 23 more",143 years old,501-1k Employees (India),Furniture & Furnishing
3106,GE Capital,4.4,167,Private,Norwalk + 10 more,90 years old,10k-50k Employees (India),Financial Services
3107,Srei Sahaj e-Vil...,4,167,Private,"Kolkata,West Bengal + 32 more",14 years old,201-500 Employees (Global),Financial Services
3108,SISL Infotech,3.6,167,Private,"Delhi/NCR,Delhi + 31 more",15 years old,501-1k Employees (India),Analytics / KPO / Research
3109,PureSoftware,3.9,167,Private,"Noida,Uttar Pradesh + 5 more",17 years old,1k-5k Employees (India),IT Services & Consulting
3110,Shree Renuka Sug...,4.2,167,Public,"Belagavi/Belgaum,Karnataka + 21 more",24 years old,1k-5k Employees (India),Agriculture / Forestry / Fishing
3111,Thomson Digital,3.2,167,Private,Noida + 5 more,60 years old,201-500 Employees (India),Media & Entertainment / Publishing
3112,AISECT,3.9,167,Private,"Bhopal,Madhya Pradesh + 42 more",37 years old,5k-10k Employees (India),Internet
3113,T R Chadha & Co ...,3.7,167,LLP,"Delhi/NCR,Delhi + 10 more",76 years old,51-200 Employees (India),Financial Services
3114,Bharat IT Servic...,3.1,167,Public,"Noida,Uttar Pradesh + 33 more",26 years old,501-1k Employees (India),Industrial Equipment / Machinery
3115,Mahindra Integra...,3.5,167,Private,"Mumbai,Maharashtra + 25 more",20 years old,1k-5k Employees (India),Analytics / KPO / Research
3116,Gaursons,3.8,167,Public,"Ghaziabad,Uttar Pradesh + 5 more",27 years old,501-1k Employees (India),Real Estate
3117,Al-Futtaim Group,3.9,620,Private,"Dubai,Dubai + 12 more",92 years old,501-1k Employees (India),Real Estate
3118,Aptiv,4.1,518,Private,Dublin + 12 more,28 years old,1k-5k Employees (India),Internet
3119,Mantra Technolog...,3.7,184,LLP,"Hyderabad/Secunderabad,Telangana + 2 more",18 years old,201-500 Employees (India),IT Services & Consulting
3120,eNoah iSolution,3.9,166,Private,"Chennai,Tamil Nadu + 4 more",17 years old,1k-5k Employees (India),Consulting
3121,Syncfusion,3.7,166,Private,"Morrisville,Carolina",21 years old,501-1k Employees (India),IT Services & Consulting
3122,Nisa Industrial ...,3.9,166,Private,"Mumbai,Maharashtra + 32 more",49 years old,51-200 Employees (India),Logistics / Shipping
3123,Sonata Finance,4.2,166,Private,"Allahabad/Prayagraj,Uttar Pradesh + 43 more",27 years old,51-200 Employees (India),Financial Services
3124,iBall,3.6,166,Private,"Mumbai,Maharashtra + 35 more",21 years old,501-1k Employees (India),Manufacturing
3125,Fourrts India La...,3.8,166,Private,"Chennai,Tamil Nadu + 27 more",45 years old,1k-5k Employees (India),Clinical Research / Contract Research
3126,Urban Ladder,4,166,Private,"Bangalore,Karnataka + 18 more",10 years old,201-500 Employees (India),Furniture & Furnishing
3127,FUJIFILM,3.6,166,Private,Tokyo + 21 more,14 years old,501-1k Employees (India),Consumer goods
3128,TCI Supply Chain...,4.4,166,Private,"Gurgaon/Gurugram,Haryana + 31 more",64 years old,5k-10k Employees (India),Logistics / Shipping
3129,Sunil Hitech Eng...,3.7,166,Public,"Hyderabad/Secunderabad,Telangana + 24 more",24 years old,501-1k Employees (India),Engineering & Construction
3130,Turtlemint,3.9,166,,"Mumbai,Maharashtra + 36 more",7 years old,,Banking / Insurance / Accounting
3131,Bangalore Intern...,4.3,166,Private,"Bangalore/Bengaluru,Karnataka + 8 more",21 years old,1k-5k Employees (India),Travel & Tourism / Hospitality
3132,Saudi Electricit...,4.5,166,Private,"Riyadh,Riyadh + 14 more",22 years old,201-500 Employees (India),Manufacturing
3133,Petron Engineeri...,4.3,166,Public,"Mumbai,Maharashtra + 26 more",46 years old,501-1k Employees (India),Engineering & Construction
3134,Gujarat State Fe...,4.6,166,Private,"Vadodara/Baroda,Gujarat + 20 more",60 years old,1k-5k Employees (India),Chemicals / Agri Inputs
3135,Vision India Ser...,3.6,166,Private,New Delhi + 45 more,14 years old,51-200 Employees (India),Recruitment / Staffing
3136,Chettinad Cement...,3.9,166,Private,"Chennai,Tamil Nadu + 34 more",60 years old,1k-5k Employees (India),Building Material
3137,Etech Global Ser...,4.3,166,Private,"Nacogdoches,Texas + 3 more",25 years old,1k-5k Employees (India),BPO/KPO
3138,Halonix Technolo...,4.2,166,Private,"Noida,Uttar Pradesh + 28 more",9 years old,501-1k Employees (India),Manufacturing
3139,Imarque Solution...,3.3,166,Private,"Chennai,Tamil Nadu + 8 more",18 years old,201-500 Employees (India),BPO/KPO
3140,Invensis Technol...,3.6,166,Private,"Bangalore/Bengaluru,Karnataka + 4 more",22 years old,1k-5k Employees (India),BPO/KPO
3141,Hollister Medica...,4.3,166,,Illinois + 8 more,101 years old,,Medical Devices & Equipment
3142,Policyboss.com,3.6,166,Private,"Mumbai,Maharashtra + 21 more",19 years old,1k-5k Employees (India),Insurance
3143,NielsenIQ,4.1,166,,Chicago + 12 more,99 years old,,Analytics / KPO / Research
3144,RV Solutions,3.8,166,Private,"Noida,Uttar Pradesh + 21 more",14 years old,201-500 Employees (India),Hardware & Networking
3145,Techwave Consult...,3.9,166,Private,"Houston,Texas + 1 more",18 years old,1k-5k Employees (India),Consulting
3146,Fiat Chrysler Au...,3.9,523,Public,London + 10 more,8 years old,1k-5k Employees (India),Automobile
3147,Trivium Educatio...,3.7,165,Private,"Delhi/NCR,Delhi + 6 more",12 years old,201-500 Employees (India),Education / Training
3148,Sales India,3.8,165,Private,Ahmedabad + 51 more,51 years old,501-1k Employees (India),Consumer goods
3149,Dee Piping Syste...,4.3,165,Private,"Palwal,Haryana + 4 more",39 years old,1k-5k Employees (India),Industrial Equipment / Machinery
3150,Mobius Knowledge...,3.8,165,Private,Chennai,20 years old,1k-5k Employees (India),Printing & Publishing
3151,Dixit Infotech S...,3.9,165,Private,"Mumbai,Maharashtra + 21 more",43 years old,501-1k Employees (India),Design
3152,Sentiss Pharma,4.1,165,Private,"Gurgaon/Gurugram,Haryana + 9 more",32 years old,501-1k Employees (India),Manufacturing
3153,HPM Chemicals & ...,4.7,165,Private,New Delhi + 31 more,45 years old,501-1k Employees (India),Fertilizers / Pesticides / Agro chemicals
3154,ProConnect Inte...,3.9,165,Private,"Chennai,Tamil Nadu + 31 more",10 years old,51-200 Employees (India),Logistics / Shipping
3155,Overnite Express,3.5,165,Private,"Delhi/NCR,Delhi + 34 more",35 years old,1-10 Employees (India),Logistics / Shipping
3156,CBSL,3.8,165,Private,New Delhi + 38 more,72 years old,1k-5k Employees (India),Consumer goods
3157,Peregrine Guardi...,3.8,165,Private,"Gurgaon/Gurugram,Haryana + 30 more",27 years old,501-1k Employees (India),Law Enforcement / Security Services
3158,Sales India,3.8,165,Private,Ahmedabad + 51 more,51 years old,501-1k Employees (India),Consumer goods
3159,RMC Readymix,3.9,165,Private,"Mumbai,Maharashtra + 37 more",26 years old,501-1k Employees (India),Building Material
3160,Pitambari Produc...,4.1,165,Private,"Thane,Maharashtra + 22 more",36 years old,201-500 Employees (India),FMCG
3161,Trivium Educatio...,3.7,165,Private,"Delhi/NCR,Delhi + 6 more",12 years old,201-500 Employees (India),Education / Training
3162,Mitra SK,4.1,165,Private,"Kolkata,West Bengal + 22 more",84 years old,1k-5k Employees (India),Miscellaneous
3163,Tata Steel Proce...,4.1,165,Private,Kolkata + 23 more,25 years old,1k-5k Employees (India),Iron & Steel
3164,Pole To Win,3.7,165,Private,Los Angeles + 2 more,28 years old,501-1k Employees (India),Gaming
3165,Lincoln Pharmace...,3.6,165,Public,"Ahmedabad,Gujarat + 13 more",43 years old,1k-5k Employees (India),Manufacturing
3166,Lanxess,4.4,165,Private,Cologne + 12 more,18 years old,501-1k Employees (India),Chemicals / Agri Inputs
3167,Woodland,3.7,165,Private,Quebec + 47 more,30 years old,5k-10k Employees (Global),Retail
3168,Recipharm Pharma...,4,165,Private,"Stockholm,Stockholm + 5 more",27 years old,11-50 Employees (India),Manufacturing
3169,Muthoot Homefin ...,3.7,165,Private,"Mumbai,Maharashtra + 55 more",11 years old,201-500 Employees (India),Investment Banking / Venture Capital / Private Equity
3170,Apollo Gleneagle...,3.9,165,Private,"Kolkata,West Bengal",19 years old,501-1k Employees (India),Consulting
3171,Home First Finan...,3.9,165,Private,"Mumbai,Maharashtra + 33 more",12 years old,1k-5k Employees (India),Media & Entertainment / Publishing
3172,Technicolor,4.2,168,Private,Paris + 4 more,129 years old,1k-5k Employees (India),Animation & VFX
3173,RedBus,4.4,164,Private,"Bangalore,Karnataka + 12 more",16 years old,1k-5k Employees (India),Internet
3174,Onicra Credit Ra...,3.3,164,Public,"Delhi/NCR,New Delhi + 33 more",29 years old,501-1k Employees (India),FinTech / Payments
3175,Calsoft,3.6,164,Private,"San Jose,California + 2 more",24 years old,1k-5k Employees (India),Hardware & Networking
3176,ZIM Laboratories,4,164,Public,"Nagpur,Maharashtra + 6 more",38 years old,201-500 Employees (India),Clinical Research / Contract Research
3177,Puranik Builders,3.7,164,Public,"Thane,Maharashtra + 6 more",54 years old,201-500 Employees (India),Real Estate
3178,Alghanim Interna...,3.9,164,Private,Kuwait City + 10 more,62 years old,10k-50k Employees (Global),Oil / Gas / Petro Chemicals
3179,Banswara Syntex,4.1,164,Public,"Banswara,Rajasthan + 8 more",46 years old,10k-50k Employees (India),Textile & Apparel
3180,ZIM Laboratories,4,164,Public,"Nagpur,Maharashtra + 6 more",38 years old,201-500 Employees (India),Clinical Research / Contract Research
3181,Onicra Credit Ra...,3.3,164,Public,"Delhi/NCR,New Delhi + 33 more",29 years old,501-1k Employees (India),FinTech / Payments
3182,Calsoft,3.6,164,Private,"San Jose,California + 2 more",24 years old,1k-5k Employees (India),Hardware & Networking
3183,MTR Foods,4.4,164,Private,"Bangalore/Bengaluru,Karnataka + 27 more",98 years old,1k-5k Employees (India),Food Processing
3184,RSM India,3.3,164,Private,London + 17 more,58 years old,1k-5k Employees (India),Financial Services
3185,Mayoor School,4.8,164,Private,"Noida,Uttar Pradesh + 4 more",19 years old,51-200 Employees (India),Education / Training
3186,Wsp Consultants ...,4.4,164,Private,Montreal + 8 more,63 years old,1k-5k Employees (India),Engineering & Construction
3187,Prolifics Corpor...,3.6,164,Private,"Orlando,Florida + 5 more",44 years old,501-1k Employees (India),Law Enforcement / Security Services
3188,Alghanim Interna...,3.9,164,Private,Kuwait City + 10 more,62 years old,10k-50k Employees (Global),Oil / Gas / Petro Chemicals
3189,Hartek Group,4.2,164,Private,"Mohali,Punjab + 4 more",31 years old,201-500 Employees (India),Manufacturing
3190,H&R Block,4.4,164,Private,"Kansas City,Missouri + 5 more",67 years old,201-500 Employees (India),Financial Services
3191,Cameo Corporate ...,3.6,164,Private,"Chennai,Tamil Nadu + 12 more",37 years old,1k-5k Employees (India),BPO/KPO
3192,Infinx Healthcar...,3.6,164,,San Jose + 6 more,10 years old,,IT Services & Consulting
3193,Writer Informati...,3.3,164,Private,Mumbai + 21 more,35 years old,5k-10k Employees (Global),Facility Management Services
3194,Bajaj Consumer C...,4.1,164,Public,"Mumbai,Maharashtra + 41 more",92 years old,201-500 Employees (India),FMCG
3195,Fingent,4.8,164,Private,"New York,New York + 2 more",19 years old,501-1k Employees (India),Hardware & Networking
3196,ACG Worldwide,4.1,193,Private,"Mumbai,Maharashtra + 9 more",61 years old,1k-5k Employees (India),Biotechnology
3197,TÜV Rheinland,4,163,Private,Cologne + 33 more,150 years old,501-1k Employees (India),Law Enforcement / Security Services
3198,Caresoft Global,3.6,163,Private,"Detroit,Michigan + 5 more",18 years old,1k-5k Employees (India),Industrial Equipment / Machinery
3199,Sakra World Hosp...,4.1,163,Private,"Bangalore/Bengaluru,Karnataka + 3 more",9 years old,1k-5k Employees (India),Medical Services / Hospital
3200,TAL Manufacturin...,4.1,163,Private,"Pune,Maharashtra + 6 more",22 years old,501-1k Employees (India),Automobile
3201,Apex Group,3.4,163,,Hamilton + 8 more,,501-1k Employees (India),Financial Services
3202,Peter England,4.2,163,Private,Londonderry + 69 more,133 years old,501-1k Employees (India),Retail
3203,Fluentgrid,4,163,Private,"Hyderabad/Secunderabad,Telangana + 23 more",24 years old,501-1k Employees (India),IT Services & Consulting
3204,Nexteer Automoti...,3.7,163,Private,"Auburn Hills,Michigan + 5 more",116 years old,501-1k Employees (India),Automobile
3205,Neilsoft,3.5,163,Private,Pune + 6 more,29 years old,501-1k Employees (India),Design
3206,Emirates Flight ...,4.4,163,Public,"Dubai,Dubai + 11 more",40 years old,201-500 Employees (India),Airlines / Aviation / Aerospace
3207,Par Formulations,4.2,163,Private,New York + 5 more,10 years old,501-1k Employees (India),Medical Services / Hospital
3208,Verifacts Servic...,3.9,163,Private,Bengaluru + 6 more,18 years old,51-200 Employees (India),Recruitment / Staffing
3209,Peter England,4.2,163,Private,Londonderry + 69 more,133 years old,501-1k Employees (India),Retail
3210,Sakra World Hosp...,4.1,163,Private,"Bangalore/Bengaluru,Karnataka + 3 more",9 years old,1k-5k Employees (India),Medical Services / Hospital
3211,Dorf Ketal Chemi...,3.7,163,LLC,Houston + 20 more,30 years old,1k-5k Employees (India),Chemicals / Agri Inputs
3212,Wishfin,3.8,163,Private,"Noida,Uttar Pradesh + 7 more",6 years old,501-1k Employees (India),Financial Services
3213,NOON.COM,4.2,163,LLC,"Burj Khalifa,Dubai + 10 more",6 years old,1k-5k Employees (India),Internet
3214,Zetwerk Manufact...,4.2,163,Private,"Bangalore,Karnataka + 21 more",4 years old,501-1k Employees (India),Defence & Aerospace
3215,Nippon India Mut...,4.5,163,JV,"Mumbai,Maharashtra + 65 more",27 years old,1k-5k Employees (India),Financial Services
3216,DSV - Global Tra...,4.2,163,,Hedehusene + 18 more,46 years old,,Urban Transport
3217,Cure foods,4.3,191,Private,"Bangalore,Karnataka + 13 more",6 years old,501-1k Employees (India),Internet
3218,ISMT,3.9,162,Public,"Pune,Maharashtra + 2 more",45 years old,1k-5k Employees (India),Iron & Steel
3219,Anudip Foundatio...,3.7,162,NGO/NPO,"Kolkata,West Bengal + 27 more",15 years old,501-1k Employees (India),NGO / Social Services / Industry Associations
3220,Tejas Networks,4.1,162,Public,"Bangalore,Karnataka + 14 more",22 years old,1k-5k Employees (India),Internet
3221,Liberty Shoes,3.9,162,Public,"Gurgaon/Gurugram,Haryana + 30 more",68 years old,51-200 Employees (India),Retail
3222,Securens System,3.9,162,Private,"Mumbai,Maharashtra + 27 more",10 years old,201-500 Employees (India),Internet
3223,MEDOPHARM,3.4,162,Private,"Chennai,Tamil Nadu + 13 more",52 years old,1k-5k Employees (India),Import & Export
3224,MARK EXHAUST SYS...,4,162,Public,"Gurgaon/Gurugram,Haryana + 7 more",29 years old,501-1k Employees (India),Automobile
3225,Saudi Oger,4.3,162,Private,Riyadh + 13 more,44 years old,1-10 Employees (India),Facility Management Services
3226,AISATS,3.8,162,Private,Mumbai + 7 more,14 years old,5k-10k Employees (India),Urban Transport
3227,Cadsys,4.3,162,Public,"Hyderabad/Secunderabad,Telangana + 2 more",33 years old,201-500 Employees (India),Design
3228,Bravura Solution...,4.5,162,Private,"Gurgaon/Gurugram,Haryana",18 years old,201-500 Employees (India),IT Services & Consulting
3229,E2logy Software ...,4.9,162,Private,"Ahmedabad,Gujarat + 1 more",17 years old,51-200 Employees (India),Hardware & Networking
3230,Polestar Solutio...,4.6,162,Private,"Noida,Uttar Pradesh + 6 more",10 years old,201-500 Employees (India),Internet
3231,Zydus Hospital,4.3,162,Public,"Ahmedabad,Gujarat + 7 more",7 years old,501-1k Employees (India),Clinical Research / Contract Research
3232,Azure Power,3.9,162,Private,"Delhi,NCT + 13 more",14 years old,501-1k Employees (India),Internet
3233,Presto Infosolut...,3.8,162,Private,"Delhi/NCR,Delhi + 35 more",22 years old,501-1k Employees (India),Law Enforcement / Security Services
3234,Hotel Park Plaza,4,162,Private,London + 16 more,36 years old,5k-10k Employees (Global),Travel & Tourism / Hospitality
3235,Inspira Enterpri...,4.1,162,Private,"Mumbai,Maharashtra + 19 more",14 years old,1k-5k Employees (India),Emerging Technologies
3236,American Tower C...,4,162,Private,"Boston,MA + 27 more",27 years old,501-1k Employees (India),Telecom / ISP
3237,Parul University,3.7,162,Private,"Vadodara/Baroda,Gujarat + 15 more",7 years old,201-500 Employees (India),Education / Training
3238,Wipro HR Service...,3.2,162,,Noida + 7 more,,,Recruitment / Staffing
3239,Continuum Manage...,3.9,162,Private,"Tampa,Florida + 2 more",17 years old,51-200 Employees (India),IT Services & Consulting
3240,Government of Ma...,4.3,791,,Mumbai + 39 more,,1k-5k Employees (Global),Federal Agencies
3241,Toshiba,4.1,623,Private,Tokyo + 22 more,147 years old,201-500 Employees (India),Industrial Equipment / Machinery
3242,Jagran Prakashan,3.8,517,Public,Kanpur + 42 more,47 years old,501-1k Employees (India),Media & Entertainment / Publishing
3243,Ubisoft Entertai...,3.9,162,Private,"Montreuil,Seine-saint-denis + 1 more",36 years old,1k-5k Employees (India),Gaming
3244,Tata Metaliks,4,161,Public,"Kolkata,West Bengal + 7 more",32 years old,1k-5k Employees (India),Iron & Steel
3245,CSIR,4.5,161,Public,"Delhi/NCR,New Delhi + 28 more",77 years old,1 Lakh+ Employees (India),Biotech & Life sciences
3246,British Biologic...,3.3,161,Private,"Bangalore/Bengaluru,Karnataka + 33 more",34 years old,501-1k Employees (India),Biotech & Life sciences
3247,Espire Infolabs,3.4,161,Private,"Gurgaon/Gurugram,Haryana + 2 more",21 years old,201-500 Employees (India),Analytics / KPO / Research
3248,Essar Power,4.2,161,Public,"Mumbai,Maharashtra + 13 more",25 years old,5k-10k Employees (India),Power
3249,JoulestoWatts Bu...,2.8,161,Private,"Bangalore,Karnataka + 11 more",7 years old,51-200 Employees (India),Internet
3250,Concorde Motors,4.4,161,Public,"Bangalore/Bengaluru,Karnataka + 11 more",50 years old,501-1k Employees (Global),Automobile
